name,category,location,telephone,mail,website
EAV Smoke And Vape,[' CBD Products'],"1203 Jersey Ridge Rd, Davenport, IA 52803",(563) 323-0599,,
ELEVATE,"[' Dispensaries', ' CBD Products']","16416 SE Sunnyside Rd, Clackamas, OR 97015",(503) 855-4673,,
DUO Smoke Shop,"[' CBD Oil', ' CBD Products']","16416 SE Sunnyside Rd, Clackamas, OR 97015",(503) 855-4673,,
E-cig Cafe,"[' CBD Oil', ' CBD Products']","16416 SE Sunnyside Rd, Clackamas, OR 97015",(503) 855-4673,,
Elevated Group Clothing,"[' Dispensaries', ' CBD Products']","16416 SE Sunnyside Rd, Clackamas, OR 97015",(503) 855-4673,,
Durango Organics,[' Dispensaries'],"1203 Jersey Ridge Rd, Davenport, IA 52803",(563) 323-0599,,
ecigExpress Bellingham,[' CBD Products'],"1203 Jersey Ridge Rd, Davenport, IA 52803",(563) 323-0599,,
Elevele,"[' CBD Oil', ' Dispensaries', ' CBD Products']","107 York Ave, Weatherford, TX 76086",(682) 262-1999,,
Durango Rec Room,"[' Dispensaries', ' CBD Products']","16416 SE Sunnyside Rd, Clackamas, OR 97015",(503) 855-4673,,
E-Clouds Vape & Smoke Shop,"[' CBD Oil', ' CBD Products']","16416 SE Sunnyside Rd, Clackamas, OR 97015",(503) 855-4673,,
ELIFE Vapors Eagan,"[' CBD Oil', ' CBD Products']","16416 SE Sunnyside Rd, Clackamas, OR 97015",(503) 855-4673,,
DrReeferalz Medical Marijuana Evaluation Center,[' Dispensaries'],"12202 N Cave Creek Rd, Phoenix, AZ 85022",(602) 788-4420,,
East Village Vape Cafe,"[' CBD Oil', ' Dispensaries', ' CBD Products']","16416 SE Sunnyside Rd, Clackamas, OR 97015",(503) 855-4673,,
Electric Lettuce Happy Valley Dispensary,[' Dispensaries'],"12202 N Cave Creek Rd, Phoenix, AZ 85022",(602) 788-4420,,
Drunken Clouds,"[' CBD Oil', ' CBD Products']","1203 Jersey Ridge Rd, Davenport, IA 52803",(563) 323-0599,,
Eastern Pharmacy,"[' CBD Oil', ' CBD Products']","1203 Jersey Ridge Rd, Davenport, IA 52803",(563) 323-0599,,
Elements Boulder,[' Dispensaries'],"12202 N Cave Creek Rd, Phoenix, AZ 85022",(602) 788-4420,,
Deserts Finest,"[' CBD Oil', ' Dispensaries', ' CBD Products']","16416 SE Sunnyside Rd, Clackamas, OR 97015",(503) 855-4673,,
dispensaries,"[' CBD Oil', ' Dispensaries', ' CBD Products']",90212,,,
DocMJ,"[' Dispensaries', ' CBD Products']","1203 Jersey Ridge Rd, Davenport, IA 52803",(563) 323-0599,,
Downtown Medical Caregivers,[' Dispensaries'],"12202 N Cave Creek Rd, Phoenix, AZ 85022",(602) 788-4420,,
Destination 420,[' Dispensaries'],"12202 N Cave Creek Rd, Phoenix, AZ 85022",(602) 788-4420,,
dispensaries,[' Dispensaries'],95467,"1 1st St, Clearlake, CA 95467",,
DocMJ,[' Dispensaries'],"12202 N Cave Creek Rd, Phoenix, AZ 85022",(602) 788-4420,,
Dr Weedy,[' Dispensaries'],"12202 N Cave Creek Rd, Phoenix, AZ 85022",(602) 788-4420,,
Destination Hwy 420,[' Dispensaries'],"12202 N Cave Creek Rd, Phoenix, AZ 85022",(602) 788-4420,,
dispensaries,[' Dispensaries'],90277,"1 Ave A, Redondo Beach, CA 90277",,
DOCMJ,[' Dispensaries'],"12202 N Cave Creek Rd, Phoenix, AZ 85022",(602) 788-4420,,
DR Wellbys Botanicals,"[' CBD Oil', ' Dispensaries', ' CBD Products']","16416 SE Sunnyside Rd, Clackamas, OR 97015",(503) 855-4673,,
Detroit Cannabis Club,[' Dispensaries'],"12202 N Cave Creek Rd, Phoenix, AZ 85022",(602) 788-4420,,
dispensaries,[' Dispensaries'],33166,"1 Curtiss Pkwy, Miami Springs, FL 33166",,
Destination Hwy 420,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
dispensaries,[' Dispensaries'],90277,"1 Ave A, Redondo Beach, CA 90277",,
DOCMJ,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
DR Wellbys Botanicals,"[' CBD Oil', ' Dispensaries', ' CBD Products']","1419 W Waters Ave, Tampa, FL 33604",(888) 908-0143,,
Detroit Cannabis Club,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
dispensaries,[' Dispensaries'],33166,"1 Curtiss Pkwy, Miami Springs, FL 33166",,
Docs CBD,[' CBD Products'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
DR. DANIEL - MEDICAL MARIJUANA EVALUATIONS,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
Detroit Gross Chronic Pain Relief Center,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
dispensaries,[' Dispensaries'],80203,"1 Broadway, Denver, CO 80203",,
Doctor420Hawaii-Molokai,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
"Dr. Estelle Toby Goldstein, M.D",[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
Detroit Herbal Center,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
dispensaries,[' Dispensaries'],2904,"1 Corliss St, Providence, RI 02904",,
Doctors of Natural Medicine,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
Dr. Green Relief Jacksonville Marijuana Doctors,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
Detroit Medical Budz,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
dispensaries,[' Dispensaries'],85701,"1 S Church Ave, Tucson, AZ 85701",,
Doctors of Natural Medicine,[' Dispensaries'],"1225 Hollis St, Bremerton, WA 98310",(360) 627-8754,,
Dr. Greenthumbs,"[' Dispensaries', ' CBD Products']",90277,"1 Ave A, Redondo Beach, CA 90277",,
Downtown Buyers Club,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
DrHerb-al,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
Dispensaries,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
Doc Green Well,"[' CBD Oil', ' Dispensaries', ' CBD Products']","123 Broadway, Chula Vista, CA 91910",,,
Downtown Evaluation Services,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
dispensaries,[' Dispensaries'],92405,"1 N D St, San Bernardino, CA 92405",,
Dockside Cannabis Shoreline,"[' Dispensaries', ' CBD Products']","15276 Hwy US-385, Julesburg, CO 80737",(877) 243-8196,,
Downtown Flame,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
Deserts Finest,"[' CBD Oil', ' Dispensaries', ' CBD Products']","123 Broadway, Chula Vista, CA 91910",,,
dispensaries,"[' CBD Oil', ' Dispensaries', ' CBD Products']",90212,,,
DocMJ,"[' Dispensaries', ' CBD Products']","15276 Hwy US-385, Julesburg, CO 80737",(877) 243-8196,,
Downtown Medical Caregivers,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
Destination 420,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
dispensaries,[' Dispensaries'],95467,"1 1st St, Clearlake, CA 95467",,
DocMJ,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
Dr Weedy,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
Destination Hwy 420,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
dispensaries,[' Dispensaries'],90277,"1 Ave A, Redondo Beach, CA 90277",,
DOCMJ,[' Dispensaries'],"1501 E 17th St, Los Angeles, CA 90021",(323) 438-9303,,
DR Wellbys Botanicals,"[' CBD Oil', ' Dispensaries', ' CBD Products']","123 Broadway, Chula Vista, CA 91910",,,
Deserts Finest,"[' CBD Oil', ' Dispensaries', ' CBD Products']","1221 W Colonial Dr, Orlando, FL 32804",(888) 908-0143,,
dispensaries,"[' CBD Oil', ' Dispensaries', ' CBD Products']",90212,,,
DocMJ,"[' Dispensaries', ' CBD Products']",90212,,,
Downtown Medical Caregivers,[' Dispensaries'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
Destination 420,[' Dispensaries'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
dispensaries,[' Dispensaries'],95467,"1 1st St, Clearlake, CA 95467",,
DocMJ,[' Dispensaries'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
Dr Weedy,[' Dispensaries'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
Cure Collective,[' Dispensaries'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
Davids CBD Dispensary,"[' CBD Oil', ' Dispensaries', ' CBD Products']","1221 W Colonial Dr, Orlando, FL 32804",(888) 908-0143,,
Custom Care Compounding,"[' CBD Oil', ' CBD Products']",90212,,,
Daydream Surf Shop,[' CBD Products'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
Cutie Judys Cannabis Company,[' Dispensaries'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
DC CBD,[' CBD Products'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
CVS Pharmacy,[' CBD Products'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
D-Cigarettes,[' CBD Products'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
Cynthelese Massage Spa,"[' CBD Oil', ' CBD Products']",90212,,,
Deanz Greenz Marijuana Dispensary,"[' Dispensaries', ' CBD Products']",90212,,,
Curaleaf - Lake Worth,"[' CBD Oil', ' Dispensaries', ' CBD Products']","1221 W Colonial Dr, Orlando, FL 32804",(888) 908-0143,,
D M LifeStyle,[' Dispensaries'],"12106 Palm Dr, Desert Hot Springs, CA 92240",(760) 671-9220,,
Curaleaf Queens,"[' CBD Oil', ' Dispensaries', ' CBD Products']","11546 Colony Row, Broomfield, CO 80021",(303) 625-7531,,
Daners Hope Foundation,"[' CBD Oil', ' Dispensaries', ' CBD Products']","11546 Colony Row, Broomfield, CO 80021",(303) 625-7531,,
Denver Terpenes,[' Dispensaries'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
Curaleaf Tallahassee,[' Dispensaries'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
Dank Godz,[' CBD Products'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
Curaleaf Youngtown,[' Dispensaries'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
"Dara Huang, MD","[' Dispensaries', ' CBD Products']","1250 S Buckley Rd, Aurora, CO 80017",(817) 401-7834,,
Cure Collective,[' Dispensaries'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
Davids CBD Dispensary,"[' CBD Oil', ' Dispensaries', ' CBD Products']","11546 Colony Row, Broomfield, CO 80021",(303) 625-7531,,
Custom Care Compounding,"[' CBD Oil', ' CBD Products']","1250 S Buckley Rd, Aurora, CO 80017",(817) 401-7834,,
Daydream Surf Shop,[' CBD Products'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
Cutie Judys Cannabis Company,[' Dispensaries'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
DC CBD,[' CBD Products'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
CVS Pharmacy,[' CBD Products'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
D-Cigarettes,[' CBD Products'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
Cynthelese Massage Spa,"[' CBD Oil', ' CBD Products']","1250 S Buckley Rd, Aurora, CO 80017",(817) 401-7834,,
Deanz Greenz Marijuana Dispensary,"[' Dispensaries', ' CBD Products']","1250 S Buckley Rd, Aurora, CO 80017",(817) 401-7834,,
Curaleaf - Lake Worth,"[' CBD Oil', ' Dispensaries', ' CBD Products']","11546 Colony Row, Broomfield, CO 80021",(303) 625-7531,,
D M LifeStyle,[' Dispensaries'],"107-18 70th Rd, Forest Hills, NY 11375",(646) 968-2872,,
Decompress,"[' CBD Oil', ' CBD Products']","1250 S Buckley Rd, Aurora, CO 80017",(817) 401-7834,,
Curaleaf AZ Camelback,[' Dispensaries'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Daley Vapor,[' CBD Products'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
DeliverTHC,[' Dispensaries'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Curaleaf Bonita Springs,"[' Dispensaries', ' CBD Products']","128 Great Rd, Acton, MA 01720",(978) 274-2845,,
Daley Vapor,[' CBD Products'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Delta 9 collective,[' Dispensaries'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Curaleaf Camelback,[' Dispensaries'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Damian Marleys Stony Hill Dispensary,[' Dispensaries'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Deluxe Smoke Shop,[' CBD Products'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Green Cross Collective,[' Dispensaries'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Green Club Pharmacy,[' Dispensaries'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Curaleaf - Deerfield,"[' Dispensaries', ' CBD Products']","128 Great Rd, Acton, MA 01720",(978) 274-2845,,
Crush Nutrition,[' CBD Products'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Crystal Lake Smoke Vape CBD Kratom Shop,"[' CBD Oil', ' CBD Products']","128 Great Rd, Acton, MA 01720",(978) 274-2845,,
Cultivapors,"[' CBD Oil', ' CBD Products']","128 Great Rd, Acton, MA 01720",(978) 274-2845,,
Crown Vapors,[' CBD Products'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Cruise Control,"[' Dispensaries', ' CBD Products']","128 Great Rd, Acton, MA 01720",(978) 274-2845,,
Crescent City Books,[' CBD Products'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Crescent Kinetic Massage Therapy,[' CBD Products'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Crown Cigarettes Smoke Shop,[' CBD Products'],"1040 E Camelback Rd, Phoenix, AZ 85014",(602) 354-3094,,
Creep Records,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Creep Records West Chester,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Creekside Collective,[' Dispensaries'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Covina House Of Smoke,"[' CBD Oil', ' CBD Products']","133 W Gay St, West Chester, PA 19380",(610) 430-4242,,
Create A Cig,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Country Health,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
County Line Organics,[' Dispensaries'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Costco Business Center,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Corner Store Apothecary & More,"[' CBD Oil', ' CBD Products']","133 W Gay St, West Chester, PA 19380",(610) 430-4242,,
Cornucopia Natural Wellness Market,"[' CBD Oil', ' CBD Products']","133 W Gay St, West Chester, PA 19380",(610) 430-4242,,
Copper Mountain Hemp Traders,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Core Organics,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
"Cool, Calm Collective",[' Dispensaries'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Cookies by Design,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Cookies by Design,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Cool Indulge Wellness,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Cookies by Design,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Cookies by Design,[' CBD Products'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Confidential 420,[' Dispensaries'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
Confidential Cannabis Cards,[' Dispensaries'],"1050 N Hancock St, Philadelphia, PA 19123",(267) 239-2037,,
consalter,[' Dispensaries'],"1531 N Wood St, Chicago, IL 60622",,,
Comprehensive Pain & Wellness,[' CBD Products'],"1531 N Wood St, Chicago, IL 60622",,,
Compassionate Wellness Center of Riverside,[' Dispensaries'],"1531 N Wood St, Chicago, IL 60622",,,
Compounding Solutions,"[' CBD Oil', ' CBD Products']","107 W Jefferson St, Morris, IL 60450",(815) 942-8399,,
Compassionate Hearts,"[' Dispensaries', ' CBD Products']","107 W Jefferson St, Morris, IL 60450",(815) 942-8399,,
Compassionate Health Options,[' Dispensaries'],"1531 N Wood St, Chicago, IL 60622",,,
Compassionate Health Options,[' Dispensaries'],"1531 N Wood St, Chicago, IL 60622",,,
Compassionate Health Options,"[' Dispensaries', ' CBD Products']","107 W Jefferson St, Morris, IL 60450",(815) 942-8399,,
Compassionate Health Options,[' Dispensaries'],"1531 N Wood St, Chicago, IL 60622",,,
Compassionate Health Options,[' Dispensaries'],"1531 N Wood St, Chicago, IL 60622",,,
Compassionate Certification Centers,"[' Dispensaries', ' CBD Products']","107 W Jefferson St, Morris, IL 60450",(815) 942-8399,,
Compassionate Certification Centers,"[' Dispensaries', ' CBD Products']","107 W Jefferson St, Morris, IL 60450",(815) 942-8399,,
Compassion Union,"[' Dispensaries', ' CBD Products']","107 W Jefferson St, Morris, IL 60450",(815) 942-8399,,
Compassionate Care of Studio City,"[' Dispensaries', ' CBD Products']","107 W Jefferson St, Morris, IL 60450",(815) 942-8399,,
Comforting CBD,"[' Dispensaries', ' CBD Products']","107 W Jefferson St, Morris, IL 60450",(815) 942-8399,,
Commencement Bay Cannabis - Tacoma,[' Dispensaries'],"1531 N Wood St, Chicago, IL 60622",,,
Community First Collective,"[' CBD Oil', ' Dispensaries', ' CBD Products']","10330 Hole Ave, Riverside, CA 92505",(951) 977-9295,,
Columbia Health Foods,"[' CBD Oil', ' CBD Products']","107 W Jefferson St, Morris, IL 60450",(815) 942-8399,,
Comforting CBD,"[' Dispensaries', ' CBD Products']","107 W Jefferson St, Morris, IL 60450",(815) 942-8399,,
Colton 420 Evaluations,[' Dispensaries'],"1531 N Wood St, Chicago, IL 60622",,,
Colton 420 Evaluations,[' Dispensaries'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Columbia Care - Riverhead,[' Dispensaries'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Colorado Clinic,"[' CBD Oil', ' CBD Products']","1333 East Main St, Riverhead, NY 11901",(631) 861-4114,,
Colorado Harvest Company,"[' Dispensaries', ' CBD Products']","1333 East Main St, Riverhead, NY 11901",(631) 861-4114,,
Colorado Harvest Company,"[' Dispensaries', ' CBD Products']","1333 East Main St, Riverhead, NY 11901",(631) 861-4114,,
Cola Cove,[' Dispensaries'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Colorado Cannabis Tours,[' Dispensaries'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
COD Cannabis On Demand,[' Dispensaries'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Code Green,[' Dispensaries'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Coastal Cannabinoids,[' Dispensaries'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Coastal CBD & Wellness,"[' CBD Oil', ' CBD Products']","1333 East Main St, Riverhead, NY 11901",(631) 861-4114,,
Coastal Green Wellness,"[' Dispensaries', ' CBD Products']","1333 East Main St, Riverhead, NY 11901",(631) 861-4114,,
CLUTCH Cannabis,[' Dispensaries'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
CML Wellness,"[' CBD Oil', ' CBD Products']","1333 East Main St, Riverhead, NY 11901",(631) 861-4114,,
Clover CBD,"[' Dispensaries', ' CBD Products']","1333 East Main St, Riverhead, NY 11901",(631) 861-4114,,
Cloudy Owl Vape Store,[' CBD Products'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Clout Glass Gallery,[' CBD Products'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Cloud X Vapes,[' CBD Products'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Cloud-9 Vaping Supplies,[' CBD Products'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Cloudhouse Vapor,[' CBD Products'],"1345 N Mount Vernon Ave, Colton, CA 92324",(866) 758-2369,,
Cloud 95 smoke shop,[' CBD Products'],"1564 Ives Dairy Rd, North Miami Beach, FL 33179",(305) 705-7280,,
Cloud X Vapes,[' CBD Products'],"1564 Ives Dairy Rd, North Miami Beach, FL 33179",(305) 705-7280,,
Cloud 9 Wellness,"[' Dispensaries', ' CBD Products']","10988 Cedar Lake Rd, Minnetonka, MN 55305",(763) 703-5166,,
Cloud 9 Smoke Shop,"[' CBD Oil', ' CBD Products']","10988 Cedar Lake Rd, Minnetonka, MN 55305",(763) 703-5166,,
Cloud 9 Smoke & Vape,"[' CBD Oil', ' CBD Products']","10988 Cedar Lake Rd, Minnetonka, MN 55305",(763) 703-5166,,
Cloud 69 Smoke Shop,"[' CBD Oil', ' CBD Products']","10988 Cedar Lake Rd, Minnetonka, MN 55305",(763) 703-5166,,
Cloud 9 Cannabis,[' Dispensaries'],"1564 Ives Dairy Rd, North Miami Beach, FL 33179",(305) 705-7280,,
Cloud 9 Smoke & Vape,"[' CBD Oil', ' CBD Products']","10988 Cedar Lake Rd, Minnetonka, MN 55305",(763) 703-5166,,
Clinic Ananda,[' Dispensaries'],"1564 Ives Dairy Rd, North Miami Beach, FL 33179",(305) 705-7280,,
Clock Town Smoke Shop,[' CBD Products'],"1564 Ives Dairy Rd, North Miami Beach, FL 33179",(305) 705-7280,,
Clean Green Mart Buffalo,"[' CBD Oil', ' CBD Products']","10988 Cedar Lake Rd, Minnetonka, MN 55305",(763) 703-5166,,
Clear Choice CBD,"[' CBD Oil', ' Dispensaries', ' CBD Products']","1411 Hilton Rd, Medford, OR 97504",(541) 622-8018,,
Clark CBD Oil,[' CBD Oil'],"1564 Ives Dairy Rd, North Miami Beach, FL 33179",(305) 705-7280,,
Clark CBD Oil,[' CBD Products'],"1564 Ives Dairy Rd, North Miami Beach, FL 33179",(305) 705-7280,,
Clarks Nutrition & Natural Foods Market,"[' CBD Oil', ' CBD Products']","10988 Cedar Lake Rd, Minnetonka, MN 55305",(763) 703-5166,,
Classic Smoke Shop,[' CBD Products'],"1564 Ives Dairy Rd, North Miami Beach, FL 33179",(305) 705-7280,,
CK Authentic Thai Massage,"[' CBD Oil', ' CBD Products']","10988 Cedar Lake Rd, Minnetonka, MN 55305",(763) 703-5166,,
Clara Jane,"[' CBD Oil', ' Dispensaries', ' CBD Products']","1411 Hilton Rd, Medford, OR 97504",(541) 622-8018,,
City of Smokes,"[' CBD Oil', ' CBD Products']","10988 Cedar Lake Rd, Minnetonka, MN 55305",(763) 703-5166,,
CK Authentic Thai Massage,"[' CBD Oil', ' CBD Products']","10988 Cedar Lake Rd, Minnetonka, MN 55305",(763) 703-5166,,
CK Authentic Thai Massage,"[' CBD Oil', ' CBD Products']","155 E 4th St, Long Beach, CA 90802",(916) 756-4628,,
Citadel Alternative Care,[' Dispensaries'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Cirrus Smoke Shop,"[' CBD Oil', ' CBD Products']","155 E 4th St, Long Beach, CA 90802",(916) 756-4628,,
Cigars & Smoke Shop,[' CBD Products'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Cinder - Spokane Valley,[' Dispensaries'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Cigarette Plus and Vape Store,[' CBD Products'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Cigarettes Cheaper,[' CBD Products'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Cigarettes For Less,"[' CBD Oil', ' CBD Products']","155 E 4th St, Long Beach, CA 90802",(916) 756-4628,,
Cigar Loft,[' CBD Products'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Cigar USA,[' CBD Products'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Cigarette And Gift Shop,[' CBD Products'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Cig Zone,[' CBD Products'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Church of Walnut,[' Dispensaries'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Cig zone,[' CBD Products'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Chula Vista Wellness,[' Dispensaries'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Church Is Life,[' Dispensaries'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Chronic Therapy,"[' Dispensaries', ' CBD Products']","155 E 4th St, Long Beach, CA 90802",(916) 756-4628,,
Chronic Therapy,[' Dispensaries'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
"Chris Viagrande MS, APRN, NPP-BC",[' Dispensaries'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Chronic Pain Releaf Center,[' Dispensaries'],"12076 Palm Dr, Desert Hot Springs, CA 92240",(760) 288-4015,,
Chronic Releaf Certification Center,[' Dispensaries'],"1626 N Monroe St, Monroe, MI 48162",(734) 682-3444,,
Chiro Health Connection,[' CBD Products'],"1626 N Monroe St, Monroe, MI 48162",(734) 682-3444,,
Chill N Vape Lounge,[' CBD Products'],"1626 N Monroe St, Monroe, MI 48162",(734) 682-3444,,
Chillhouse,"[' CBD Oil', ' CBD Products']","116 S Main St, Colfax, WA 99111",(509) 553-3026,,
Chicoine Chiropractic,"[' CBD Oil', ' CBD Products']","116 S Main St, Colfax, WA 99111",(509) 553-3026,,
Chili Dog Deliveries,[' Dispensaries'],"1626 N Monroe St, Monroe, MI 48162",(734) 682-3444,,
Cheap Smokes and Phones,"[' CBD Oil', ' CBD Products']","116 S Main St, Colfax, WA 99111",(509) 553-3026,,
Cherry Grove Drug,[' Dispensaries'],"1626 N Monroe St, Monroe, MI 48162",(734) 682-3444,,
Chesacanna,[' Dispensaries'],"1626 N Monroe St, Monroe, MI 48162",(734) 682-3444,,
Charlottes Web Caf,"[' Dispensaries', ' CBD Products']","116 S Main St, Colfax, WA 99111",(509) 553-3026,,
Chases Downtown florist,[' CBD Products'],"1626 N Monroe St, Monroe, MI 48162",(734) 682-3444,,
